Suburb,Address,Rooms,Type,Price,Date,Distance,Postcode,Bathroom,Car,Landsize,BuildingArea,YearBuilt,CouncilArea,Lattitude,Longtitude,Regionname,Propertycount,CrimeRate,NearbySchools
Airport West,144 Marshall Rd,3,h,715000.0,2017-03-18,13.5,3042,2,2,422,126,1995,Moonee Valley City Council,-37.7164,144.8792,Western Metropolitan,3464,320,5
Airport West,106 Parer Rd,3,h,790000.0,2017-03-18,13.5,3042,1,3,614,0,0,Moonee Valley City Council,-37.7194,144.8827,Western Metropolitan,3464,320,5
Airport West,3/7 South Rd,3,t,540000.0,2016-06-18,13.5,3042,2,1,161,101,2010,Moonee Valley City Council,-37.7231,144.8802,Western Metropolitan,3464,320,5
Airport West,37 North St,3,t,825000.0,2016-11-19,13.5,3042,2,1,293,102,1960,Moonee Valley City Council,-37.72,144.8776,Western Metropolitan,3464,320,5
Airport West,10 Hilbert Rd,3,h,685000.0,2016-05-22,13.5,3042,1,1,579,113,1975,Moonee Valley City Council,-37.7226,144.8733,Western Metropolitan,3464,320,5
Airport West,110 Halsey Rd,3,h,805000.0,2016-08-22,13.5,3042,1,1,623,0,0,Moonee Valley City Council,-37.7184,144.882,Western Metropolitan,3464,320,5
Airport West,2/13 North St,2,u,510000.0,2016-08-22,13.5,3042,1,1,141,76,0,Moonee Valley City Council,-37.7202,144.8797,Western Metropolitan,3464,320,5
Airport West,105a Victory Rd,3,h,612000.0,2016-08-22,13.5,3042,2,1,212,0,0,Moonee Valley City Council,-37.7181,144.8824,Western Metropolitan,3464,320,5
Airport West,117 Marshall Rd,3,h,662000.0,2016-04-23,13.5,3042,1,2,612,0,0,Moonee Valley City Council,-37.7169,144.8815,Western Metropolitan,3464,320,5
Airport West,34 Moorna Dr,4,h,978000.0,2016-09-24,13.5,3042,3,2,532,0,0,Moonee Valley City Council,-37.7263,144.869,Western Metropolitan,3464,320,5
Airport West,33 North St,3,h,720000.0,2017-02-25,13.5,3042,1,1,585,0,0,Moonee Valley City Council,-37.72,144.878,Western Metropolitan,3464,320,5
Airport West,49 Roberts Rd,4,h,765000.0,2016-11-27,13.5,3042,1,2,509,0,0,Moonee Valley City Council,-37.7261,144.8785,Western Metropolitan,3464,320,5
Airport West,85 Roberts Rd,4,h,900000.0,2016-11-27,13.5,3042,2,3,628,146,1975,Moonee Valley City Council,-37.7256,144.8739,Western Metropolitan,3464,320,5
Albert Park,105 Kerferd Rd,2,h,1275000.0,2016-09-03,3.3,3206,1,0,120,82,1900,Port Phillip City Council,-37.8459,144.9555,Southern Metropolitan,3280,199,4
Albert Park,85 Richardson St,2,h,1455000.0,2016-09-03,3.3,3206,1,0,159,0,0,Port Phillip City Council,-37.845,144.9538,Southern Metropolitan,3280,199,4
Albert Park,112 Beaconsfield Pde,3,h,2850000.0,2017-03-04,3.3,3206,2,0,211,198,1890,Port Phillip City Council,-37.8481,144.9499,Southern Metropolitan,3280,199,4
Albert Park,94 Graham St,3,h,1850000.0,2017-03-04,3.3,3206,2,0,128,133,1890,Port Phillip City Council,-37.8452,144.9488,Southern Metropolitan,3280,199,4
Albert Park,396 Montague St,2,h,1436000.0,2017-03-04,3.3,3206,1,0,130,81,1900,Port Phillip City Council,-37.8431,144.9565,Southern Metropolitan,3280,199,4
Albert Park,75 Graham St,2,h,1110000.0,2016-08-06,3.3,3206,1,0,147,0,1900,Port Phillip City Council,-37.8444,144.9484,Southern Metropolitan,3280,199,4
Albert Park,54 Brooke St,2,h,1550000.0,2016-05-07,3.3,3206,1,1,167,0,0,Port Phillip City Council,-37.8405,144.9521,Southern Metropolitan,3280,199,4
Albert Park,104 Richardson St,4,h,2300000.0,2016-05-07,3.3,3206,2,1,153,180,1880,Port Phillip City Council,-37.8447,144.9523,Southern Metropolitan,3280,199,4
Albert Park,4a Mills St,3,t,1550000.0,2016-11-07,3.3,3206,2,2,718,0,0,Port Phillip City Council,-37.8443,144.9598,Southern Metropolitan,3280,199,4
Albert Park,1 Moubray St,3,h,1800000.0,2016-11-07,3.3,3206,2,1,132,159,1996,Port Phillip City Council,-37.8415,144.952,Southern Metropolitan,3280,199,4
Albert Park,29 Faussett St,2,h,2120000.0,2016-09-10,3.3,3206,1,1,199,107,1900,Port Phillip City Council,-37.8422,144.9554,Southern Metropolitan,3280,199,4
Albert Park,3 Herbert St,3,h,1800000.0,2016-09-10,3.3,3206,1,1,253,0,0,Port Phillip City Council,-37.8443,144.9579,Southern Metropolitan,3280,199,4
Albert Park,24 Kerferd Pl,3,h,1800000.0,2016-09-10,3.3,3206,2,1,90,122,1900,Port Phillip City Council,-37.8421,144.9571,Southern Metropolitan,3280,199,4
Albert Park,44 Draper St,2,h,1810000.0,2016-12-10,3.3,3206,1,0,240,0,0,Port Phillip City Council,-37.8379,144.9539,Southern Metropolitan,3280,199,4
Albert Park,2 Dundas Pl,3,h,2615000.0,2016-12-10,3.3,3206,2,1,177,181,1880,Port Phillip City Council,-37.8415,144.9585,Southern Metropolitan,3280,199,4
Albert Park,23 Finlay St,5,h,2100000.0,2016-12-10,3.3,3206,2,1,237,0,0,Port Phillip City Council,-37.8436,144.9557,Southern Metropolitan,3280,199,4
Albert Park,31 Richardson St,3,h,1300000.0,2016-12-10,3.3,3206,1,0,129,0,0,Port Phillip City Council,-37.8422,144.949,Southern Metropolitan,3280,199,4
Albert Park,60 Brooke St,2,h,1000000.0,2016-11-12,3.3,3206,1,0,288,0,0,Port Phillip City Council,-37.8407,144.9523,Southern Metropolitan,3280,199,4
Albert Park,70 Barrett St,3,h,2575000.0,2016-10-15,3.3,3206,2,1,228,0,0,Port Phillip City Council,-37.8445,144.9501,Southern Metropolitan,3280,199,4
Albert Park,65 Graham St,2,h,1322500.0,2016-10-15,3.3,3206,1,0,149,98,1890,Port Phillip City Council,-37.8443,144.9481,Southern Metropolitan,3280,199,4
Albert Park,364 Montague St,2,h,1562500.0,2016-10-15,3.3,3206,1,0,141,83,1890,Port Phillip City Council,-37.8424,144.9562,Southern Metropolitan,3280,199,4
Albert Park,86 Mills St,3,h,2000000.0,2016-04-16,3.3,3206,2,1,211,147,1900,Port Phillip City Council,-37.847,144.9575,Southern Metropolitan,3280,199,4
Albert Park,129 Kerferd Rd,3,h,1900000.0,2017-03-18,3.3,3206,1,0,209,0,1900,Port Phillip City Council,-37.8468,144.9546,Southern Metropolitan,3280,199,4
Albert Park,97 Page St,3,h,3010000.0,2017-03-18,3.3,3206,2,0,147,146,1890,Port Phillip City Council,-37.8473,144.9551,Southern Metropolitan,3280,199,4
Albert Park,55 Withers St,4,h,2800000.0,2016-06-18,3.3,3206,3,1,327,254,1910,Port Phillip City Council,-37.8467,144.9475,Southern Metropolitan,3280,199,4
Albert Park,55 Merton St,3,h,2100000.0,2016-04-23,3.3,3206,1,1,120,123,1900,Port Phillip City Council,-37.8427,144.9546,Southern Metropolitan,3280,199,4
Albert Park,49 Page St,3,h,2000000.0,2016-09-24,3.3,3206,1,1,238,131,1890,Port Phillip City Council,-37.8461,144.9528,Southern Metropolitan,3280,199,4
Albert Park,115 Page St,4,h,4735000.0,2017-02-25,3.3,3206,2,1,330,207,1910,Port Phillip City Council,-37.8477,144.9558,Southern Metropolitan,3280,199,4
Albert Park,32 Page St,2,h,1340000.0,2017-02-25,3.3,3206,1,0,136,0,0,Port Phillip City Council,-37.846,144.9517,Southern Metropolitan,3280,199,4
Albert Park,34 Richardson St,3,h,1801000.0,2017-02-25,3.3,3206,1,1,202,0,0,Port Phillip City Council,-37.8429,144.9493,Southern Metropolitan,3280,199,4
Albert Park,22 Greig St,3,h,3755000.0,2016-07-26,3.3,3206,2,2,325,0,0,Port Phillip City Council,-37.8413,144.95,Southern Metropolitan,3280,199,4
Albert Park,27 Barrett St,4,h,2140000.0,2016-06-27,3.3,3206,2,1,183,145,1880,Port Phillip City Council,-37.8434,144.9495,Southern Metropolitan,3280,199,4
Albert Park,44 Greig St,2,h,1750000.0,2016-11-27,3.3,3206,1,1,162,0,0,Port Phillip City Council,-37.8416,144.9488,Southern Metropolitan,3280,199,4
Albert Park,6 Brooke St,2,h,980000.0,2016-05-28,3.3,3206,1,0,79,68,1890,Port Phillip City Council,-37.8387,144.9519,Southern Metropolitan,3280,199,4
Albert Park,227a Danks St,3,h,2030000.0,2016-08-28,3.3,3206,2,0,152,0,0,Port Phillip City Council,-37.8488,144.9551,Southern Metropolitan,3280,199,4
Albert Park,17 Reed St,3,h,1740000.0,2016-08-28,3.3,3206,2,2,147,134,1890,Port Phillip City Council,-37.8448,144.9453,Southern Metropolitan,3280,199,4
Albert Park,9 Durham St,1,h,985000.0,2016-07-30,3.3,3206,1,0,81,54,1900,Port Phillip City Council,-37.8411,144.9497,Southern Metropolitan,3280,199,4
Alphington,6 Smith St,4,h,2000000.0,2016-09-03,6.4,3078,2,4,853,263,1930,Darebin City Council,-37.7707,145.0318,Northern Metropolitan,2211,320,4
Alphington,5/6 Yarralea St,3,h,1110000.0,2016-09-03,6.4,3078,2,2,208,0,2013,Darebin City Council,-37.7854,145.0325,Northern Metropolitan,2211,320,4
Alphington,136A Fulham Rd,3,h,1492000.0,2017-03-04,6.4,3078,2,2,411,0,0,Darebin City Council,-37.7713,145.0279,Northern Metropolitan,2211,320,4
Alphington,44 Shiers St,4,h,1717500.0,2016-10-08,6.4,3078,2,1,599,203,1925,Darebin City Council,-37.7717,145.031,Northern Metropolitan,2211,320,4
Alphington,83 Fulham Rd,5,h,2840000.0,2016-06-12,6.4,3078,4,4,809,165,1910,Darebin City Council,-37.775,145.0268,Northern Metropolitan,2211,320,4
Alphington,3/19 Harker St,2,u,525500.0,2016-11-12,6.4,3078,1,1,88,60,1960,Darebin City Council,-37.7791,145.0306,Northern Metropolitan,2211,320,4
Alphington,4/2 Miller St,2,t,805000.0,2016-11-12,6.4,3078,2,3,155,140,2004,Darebin City Council,-37.7804,145.0308,Northern Metropolitan,2211,320,4
Alphington,815 Heidelberg Rd,3,h,2000000.0,2016-10-15,6.4,3078,3,2,686,0,0,Darebin City Council,-37.78,145.0341,Northern Metropolitan,2211,320,4
Alphington,44 Naroon Rd,3,h,1540000.0,2016-04-16,6.4,3078,1,2,592,0,0,Darebin City Council,-37.7755,145.0288,Northern Metropolitan,2211,320,4
Alphington,3/98 Grange Rd,2,u,820000.0,2017-03-18,6.4,3078,1,1,183,0,0,Darebin City Council,-37.7747,145.0264,Northern Metropolitan,2211,320,4
Alphington,10 Bennett St,4,h,1830000.0,2016-11-19,6.4,3078,2,2,606,112,1970,Darebin City Council,-37.7743,145.0316,Northern Metropolitan,2211,320,4
Alphington,38 Bennett St,4,h,2100000.0,2016-11-19,6.4,3078,2,2,575,271,2008,Darebin City Council,-37.7723,145.0319,Northern Metropolitan,2211,320,4
Alphington,2c Hamilton St,3,h,865000.0,2016-05-22,6.4,3078,1,1,180,131,2010,Darebin City Council,-37.7802,145.0243,Northern Metropolitan,2211,320,4
Alphington,22 Lowther St,3,h,1165000.0,2016-06-27,6.4,3078,1,2,979,0,0,Darebin City Council,-37.7792,145.029,Northern Metropolitan,2211,320,4
Alphington,11 Margaret Gr,4,h,1900000.0,2016-11-27,6.4,3078,2,2,556,272,1930,Darebin City Council,-37.7844,145.0225,Northern Metropolitan,2211,320,4
Alphington,6 Naroon Rd,3,h,1485000.0,2016-08-28,6.4,3078,0,0,597,0,0,Darebin City Council,-37.7781,145.0284,Northern Metropolitan,2211,320,4
Alphington,42 Shiers St,4,h,1950000.0,2016-07-30,6.4,3078,2,3,589,210,1920,Darebin City Council,-37.7719,145.0309,Northern Metropolitan,2211,320,4
Altona,158 Queen St,3,h,520000.0,2016-09-03,13.8,3018,2,1,352,242,2015,Hobsons Bay City Council,-37.87,144.825,Western Metropolitan,5301,211,5
Altona,59 Bracken Gr,5,h,1525000.0,2016-12-03,13.8,3018,3,3,729,268,2005,Hobsons Bay City Council,-37.8721,144.8105,Western Metropolitan,5301,211,5
Altona,1/123 Blyth St,2,t,720000.0,2016-02-04,13.8,3018,1,2,292,125,2013,Hobsons Bay City Council,-37.8687,144.8197,Western Metropolitan,5301,211,5
Altona,4 Blyth St,3,h,1120000.0,2017-03-04,13.8,3018,1,2,506,120,1930,Hobsons Bay City Council,-37.8693,144.8375,Western Metropolitan,5301,211,5
Altona,20 Linnet St,4,h,780000.0,2016-06-04,13.8,3018,1,4,655,0,0,Hobsons Bay City Council,-37.868,144.8154,Western Metropolitan,5301,211,5
Altona,29 Rose St,4,h,1780000.0,2016-06-04,13.8,3018,3,6,1057,220,1962,Hobsons Bay City Council,-37.8681,144.819,Western Metropolitan,5301,211,5
Altona,1/170 Blyth St,3,u,630000.0,2016-08-06,13.8,3018,1,2,311,94,1955,Hobsons Bay City Council,-37.8702,144.8143,Western Metropolitan,5301,211,5
Altona,5/35 Grieve Pde,2,u,406000.0,2016-08-06,13.8,3018,1,1,65,0,0,Hobsons Bay City Council,-37.8693,144.8171,Western Metropolitan,5301,211,5
Altona,156 Maidstone St,3,h,660000.0,2016-05-07,13.8,3018,1,1,602,123,1955,Hobsons Bay City Council,-37.8616,144.8116,Western Metropolitan,5301,211,5
Altona,11 Keeshan Ct,3,h,683500.0,2016-11-07,13.8,3018,1,1,530,0,0,Hobsons Bay City Council,-37.8594,144.817,Western Metropolitan,5301,211,5
Altona,1/136 Queen St,2,u,580000.0,2016-10-08,13.8,3018,1,1,225,93,1988,Hobsons Bay City Council,-37.8696,144.827,Western Metropolitan,5301,211,5
Altona,173 Queen St,3,h,1335000.0,2016-10-08,13.8,3018,1,4,777,22,1953,Hobsons Bay City Council,-37.8697,144.8249,Western Metropolitan,5301,211,5
Altona,1/265 Queen St,3,t,800000.0,2016-10-08,13.8,3018,2,2,280,0,1997,Hobsons Bay City Council,-37.8734,144.8143,Western Metropolitan,5301,211,5
Altona,3/26 Grieve Pde,2,u,510000.0,2016-09-10,13.8,3018,1,1,127,76,1990,Hobsons Bay City Council,-37.8686,144.8182,Western Metropolitan,5301,211,5
Altona,261 Queen St,4,h,1070000.0,2016-09-10,13.8,3018,2,2,695,0,0,Hobsons Bay City Council,-37.8733,144.8147,Western Metropolitan,5301,211,5
Altona,4/5 Rose St,2,u,425000.0,2016-09-10,13.8,3018,1,2,115,57,1980,Hobsons Bay City Council,-37.871,144.8185,Western Metropolitan,5301,211,5
Altona,1/60 David St,3,u,605000.0,2016-12-10,13.8,3018,2,2,230,0,0,Hobsons Bay City Council,-37.8646,144.827,Western Metropolitan,5301,211,5
Altona,1A Merritt Ct,3,t,705000.0,2017-02-11,13.8,3018,2,2,197,152,0,Hobsons Bay City Council,-37.8579,144.8181,Western Metropolitan,5301,211,5
Altona,24 Wren St,4,h,845000.0,2017-02-11,13.8,3018,1,2,745,130,1950,Hobsons Bay City Council,-37.8658,144.8155,Western Metropolitan,5301,211,5
Altona,1/152 Blyth St,3,t,743000.0,2016-11-12,13.8,3018,2,2,211,176,0,Hobsons Bay City Council,-37.8698,144.816,Western Metropolitan,5301,211,5
Altona,4/57 Blyth St,3,u,730000.0,2016-08-13,13.8,3018,2,1,69,141,2014,Hobsons Bay City Council,-37.868,144.8286,Western Metropolitan,5301,211,5
Altona,164 Maidstone St,3,h,635000.0,2016-05-14,13.8,3018,1,4,625,0,1960,Hobsons Bay City Council,-37.8611,144.8114,Western Metropolitan,5301,211,5
Altona,3/25 Rayner St,2,u,620000.0,2016-05-14,13.8,3018,1,1,168,0,0,Hobsons Bay City Council,-37.8676,144.8202,Western Metropolitan,5301,211,5
Altona,3/46 Sargood St,2,u,447000.0,2016-10-15,13.8,3018,1,1,137,77,1990,Hobsons Bay City Council,-37.8655,144.8299,Western Metropolitan,5301,211,5
Altona,1/57 Blyth St,3,u,730000.0,2016-04-16,13.8,3018,2,1,70,0,0,Hobsons Bay City Council,-37.868,144.8287,Western Metropolitan,5301,211,5
Altona,22 Fenfield St,3,h,678000.0,2016-04-16,13.8,3018,1,2,606,87,1950,Hobsons Bay City Council,-37.8608,144.8124,Western Metropolitan,5301,211,5
Altona,5/8 David St,2,u,580000.0,2016-07-16,13.8,3018,2,1,175,76,2013,Hobsons Bay City Council,-37.8687,144.8268,Western Metropolitan,5301,211,5
Altona,1/28 Seves St,3,h,712000.0,2016-09-17,13.8,3018,1,2,363,0,0,Hobsons Bay City Council,-37.8674,144.8375,Western Metropolitan,5301,211,5
Altona,27 McIntyre Dr,3,h,840000.0,2017-03-18,13.8,3018,2,2,534,136,1965,Hobsons Bay City Council,-37.86,144.8245,Western Metropolitan,5301,211,5
Altona,4 Boyd St,3,h,980000.0,2016-11-19,13.8,3018,1,2,724,0,0,Hobsons Bay City Council,-37.8672,144.817,Western Metropolitan,5301,211,5
Altona,12 Spear Ct,3,t,605100.0,2016-05-22,13.8,3018,2,0,265,0,0,Hobsons Bay City Council,-37.8583,144.8172,Western Metropolitan,5301,211,5
Altona,185 Queen St,3,h,880000.0,2016-08-22,13.8,3018,3,1,577,0,0,Hobsons Bay City Council,-37.8699,144.8235,Western Metropolitan,5301,211,5
Altona,3/20 Mulga St,3,u,577000.0,2016-04-23,13.8,3018,2,1,205,113,2007,Hobsons Bay City Council,-37.8684,144.815,Western Metropolitan,5301,211,5
Altona,51 Millers Rd,4,h,1030000.0,2017-02-25,13.8,3018,1,0,797,0,0,Hobsons Bay City Council,-37.8663,144.8387,Western Metropolitan,5301,211,5
Altona,2/119 Railway St N,3,u,605000.0,2017-02-25,13.8,3018,1,2,181,0,0,Hobsons Bay City Council,-37.8659,144.822,Western Metropolitan,5301,211,5
Altona,24 McIntyre Dr,3,h,753000.0,2016-06-27,13.8,3018,2,2,529,0,0,Hobsons Bay City Council,-37.8612,144.8247,Western Metropolitan,5301,211,5
Altona,104 Maidstone St,2,h,857000.0,2016-11-27,13.8,3018,2,1,675,100,1950,Hobsons Bay City Council,-37.8653,144.8129,Western Metropolitan,5301,211,5
Altona,49 Bent St,3,h,1500000.0,2016-05-28,13.8,3018,1,1,929,0,0,Hobsons Bay City Council,-37.8651,144.832,Western Metropolitan,5301,211,5
Altona,5/57 Blyth St,3,u,730000.0,2016-05-28,13.8,3018,2,1,70,3,2014,Hobsons Bay City Council,-37.868,144.8285,Western Metropolitan,5301,211,5
Altona,15 Kookaburra St,3,h,900000.0,2016-05-28,13.8,3018,1,4,697,0,0,Hobsons Bay City Council,-37.871,144.8075,Western Metropolitan,5301,211,5
Altona,219 Civic Pde,3,h,740000.0,2016-08-28,13.8,3018,1,2,604,0,0,Hobsons Bay City Council,-37.8631,144.8195,Western Metropolitan,5301,211,5
Altona,3 Curtin Ct,4,h,931000.0,2016-08-28,13.8,3018,2,3,532,0,1970,Hobsons Bay City Council,-37.8637,144.8365,Western Metropolitan,5301,211,5
